Year,Months,S/S0,ExpS/S0,LogS/S0,S/S02,S/S03,S/S04,Tmax,Tavg,Tmin,Tmax/S0,Tavg/S0,Tmin/S0,RH,RH/S0,A,SinA,TanA,SinhA,TanhA,H0,H
2006,1,0.978513465,2.660498377,-0.009433194,0.957488601,0.936915489,0.916784422,20.27,14.02,8.53,1.931422981,1.335892955,0.81277938,40.34,3.843789002,-20.91696257,-0.357014558,-0.382202129,-0.373233252,-0.349671871,22.81967213,13.92
2006,2,0.984552782,2.676614587,-0.006760996,0.969344181,0.95437051,0.939628141,21.25,15.33,9.59,1.914783635,1.381347441,0.864130591,39.89,3.594386786,-12.95460809,-0.224179051,-0.230033879,-0.228031927,-0.222324889,27.55932203,16.26
2006,3,0.997987545,2.712816909,-0.000874879,0.99597914,0.993974776,0.991974446,23.82,18.35,12.36,2.012710883,1.550514052,1.044378947,32.71,2.763886356,-2.417734805,-0.042184911,-0.042222497,-0.042209957,-0.042172405,33.20967742,20.59
2006,4,1.008545915,2.741611579,0.003695675,1.017164863,1.025857468,1.034624358,28.5,21.91,14.84,2.253041981,1.732075432,1.173162912,26.13,2.065683753,9.414893347,0.163582404,0.165816,0.165061368,0.162857726,37.29850746,24.99
2006,5,1.015613445,2.761056633,0.006728441,1.031470669,1.047575479,1.063931741,35.68,29,22.01,2.675024334,2.174206998,1.650148139,22.09,1.656145951,18.79191752,0.322132152,0.340270362,0.33389277,0.316705301,40.21875,25.74
2006,6,1.018787588,2.769834546,0.008083645,1.037928149,1.057428315,1.077294843,34.38,28.37,21.82,2.512920048,2.073634141,1.594878285,25.55,1.867513299,23.085911,0.392110921,0.42624554,0.413916395,0.382449055,41.09722222,29.59
2006,7,1.016810908,2.764364878,0.007240197,1.033904423,1.051285295,1.068958355,35.83,30.45,24.89,2.648878626,2.251140222,1.840094586,29.22,2.160207465,21.18369356,0.361359215,0.387547056,0.378206331,0.353751325,40.08823529,27.26
2006,8,1.010167104,2.746059855,0.004393222,1.020437579,1.030812474,1.041292852,36.17,31.11,25.68,2.795542783,2.404460491,1.984781273,28.35,2.191142878,13.45495968,0.23268091,0.239247505,0.236997687,0.230609729,38.17142857,26.72
2006,9,1.000482177,2.719592837,0.000209356,1.000964586,1.001447228,1.001930102,36.67,30.35,24.3,3.01774085,2.497639345,1.999757367,28.21,2.321529026,2.216886783,0.03868232,0.038711293,0.038701628,0.038672677,34.42647059,23.41
2006,10,0.989158178,2.688969884,-0.004734254,0.9784339,0.967825894,0.957332898,29.97,24.63,19.31,2.643455165,2.17244914,1.703207182,33.86,2.986566296,-9.599397234,-0.166758374,-0.169126519,-0.168326002,-0.165990865,29.07936508,18.32
2006,11,0.979362529,2.662758269,-0.009056517,0.959150962,0.939356512,0.919970569,27.31,21.08,15.7,2.563715636,1.978876807,1.473831398,41.15,3.862940257,-18.91195474,-0.324114811,-0.34260965,-0.336102246,-0.318588955,23.8,13.09
2006,12,0.974645221,2.650226799,-0.011153442,0.949933306,0.925847957,0.902373286,22.97,16,10.45,2.225407626,1.550131564,1.012429678,37.47,3.630214356,-23.04962764,-0.391528292,-0.425497423,-0.41323111,-0.381908286,21.56363636,11.86
2007,1,0.978513465,2.660498377,-0.009433194,0.957488601,0.936915489,0.916784422,21.35,15.23,9.97,2.03433057,1.451187568,0.949989498,42.58,4.057226963,-20.91696257,-0.357014558,-0.382202129,-0.373233252,-0.349671871,23.01851852,12.43
2007,2,0.984552782,2.676614587,-0.006760996,0.969344181,0.95437051,0.939628141,18.8,13.11,7.6,1.694020346,1.181308869,0.684816735,35.92,3.236660149,-12.95460809,-0.224179051,-0.230033879,-0.228031927,-0.222324889,27.328125,17.49
2007,3,0.997987545,2.712816909,-0.000874879,0.99597914,0.993974776,0.991974446,22.99,17.03,10.95,1.94257864,1.438978436,0.92523863,28.59,2.41576004,-2.417734805,-0.042184911,-0.042222497,-0.042209957,-0.042172405,33.01470588,22.45
2007,4,1.008545915,2.741611579,0.003695675,1.017164863,1.025857468,1.034624358,28.21,22.05,15.32,2.230116291,1.743143006,1.211108882,23.33,1.84433226,9.414893347,0.163582404,0.165816,0.165061368,0.162857726,37.20895522,24.93
2007,5,1.015613445,2.761056633,0.006728441,1.031470669,1.047575479,1.063931741,34.12,27.86,20.58,2.558066992,2.088738171,1.542937242,20.2,1.514447633,18.79191752,0.322132152,0.340270362,0.33389277,0.316705301,39.97183099,28.38
2007,6,1.018787588,2.769834546,0.008083645,1.037928149,1.057428315,1.077294843,35.81,29.79,23.08,2.617442319,2.177425487,1.686974831,24.65,1.801730052,23.085911,0.392110921,0.42624554,0.413916395,0.382449055,40.78378378,30.18
2007,7,1.016810908,2.764364878,0.007240197,1.033904423,1.051285295,1.068958355,36.49,31.04,24.97,2.697671813,2.294758375,1.846008912,26.56,1.963556135,21.18369356,0.361359215,0.387547056,0.378206331,0.353751325,40.43835616,29.52
2007,8,1.010167104,2.746059855,0.004393222,1.020437579,1.030812474,1.041292852,35.03,30.47,24.95,2.707433333,2.354995537,1.92836031,29.07,2.246790951,13.45495968,0.23268091,0.239247505,0.236997687,0.230609729,37.83561644,27.62
2007,9,1.000482177,2.719592837,0.000209356,1.000964586,1.001447228,1.001930102,32.86,27.69,22.06,2.704198645,2.278735864,1.815417593,33.26,2.737116462,2.216886783,0.03868232,0.038711293,0.038701628,0.038672677,34.05714286,23.84
2007,10,0.989158178,2.688969884,-0.004734254,0.9784339,0.967825894,0.957332898,29.79,24.19,18.68,2.627578557,2.133639654,1.647639055,39.27,3.463746558,-9.599397234,-0.166758374,-0.169126519,-0.168326002,-0.165990865,28.984375,18.55
2007,11,0.979362529,2.662758269,-0.009056517,0.959150962,0.939356512,0.919970569,25.17,20.05,14.83,2.362823968,1.882185957,1.392160486,39.24,3.683639749,-18.91195474,-0.324114811,-0.34260965,-0.336102246,-0.318588955,24.04918033,14.67
2007,12,0.974645221,2.650226799,-0.011153442,0.949933306,0.925847957,0.902373286,19.92,14.34,9.25,1.929913797,1.389305414,0.89616981,46.1,4.466316568,-23.04962764,-0.391528292,-0.425497423,-0.41323111,-0.381908286,21.65454545,11.91
2008,1,0.978513465,2.660498377,-0.009433194,0.957488601,0.936915489,0.916784422,18.49,13.01,7.75,1.76181603,1.239655303,0.738457233,46.57,4.437413332,-20.91696257,-0.357014558,-0.382202129,-0.373233252,-0.349671871,22.98360656,14.02
2008,2,0.984552782,2.676614587,-0.006760996,0.969344181,0.95437051,0.939628141,20.39,14.78,8.63,1.837291215,1.331788335,0.777627425,39.53,3.561948099,-12.95460809,-0.224179051,-0.230033879,-0.228031927,-0.222324889,27.296875,17.47
2008,3,0.997987545,2.712816909,-0.000874879,0.99597914,0.993974776,0.991974446,21.1,15.63,9.34,1.782879918,1.320683086,0.789198978,30.43,2.571233929,-2.417734805,-0.042184911,-0.042222497,-0.042209957,-0.042172405,32.95384615,21.42
2008,4,1.008545915,2.741611579,0.003695675,1.017164863,1.025857468,1.034624358,30.99,24.33,16.48,2.449886702,1.923386365,1.302811644,21.32,1.68543351,9.414893347,0.163582404,0.165816,0.165061368,0.162857726,37.56716418,25.17
2008,5,1.015613445,2.761056633,0.006728441,1.031470669,1.047575479,1.063931741,34.23,28.29,21.34,2.566313984,2.120976413,1.59991646,20.09,1.506200641,18.79191752,0.322132152,0.340270362,0.33389277,0.316705301,39.921875,25.55
