Year,Months,S/S0,ExpS/S0,LogS/S0,S/S02,S/S03,S/S04,Tmax,Tavg,Tmin,Tmax/S0,Tavg/S0,Tmin/S0,RH,RH/S0,A,SinA,TanA,SinhA,TanhA,H0,Hroud,H
2006,1,0.997337228,2.711053291,-0.00115797,0.994681546,0.992032936,0.989391378,20.95,13.88,8.72,2.03461807,1.34799517,0.846867283,53.48,5.193860353,-20.91696257,-0.357014558,-0.382202129,-0.373233252,-0.349671871,21.01724138,,12.19
2006,2,0.995090664,2.704969574,-0.002137348,0.99020543,0.985344179,0.980506794,21.71,14.84,9.02,1.977171056,1.351507069,0.821468583,51.09,4.652863624,-12.95460809,-0.224179051,-0.230033879,-0.228031927,-0.222324889,26,,13.52
2006,3,0.999795965,2.717727262,-8.86E-05,0.999591972,0.999388021,0.999184111,23.02,16.44,10.25,1.948638217,1.391642584,0.86766037,47.55,4.025097621,-2.417734805,-0.042184911,-0.042222497,-0.042209957,-0.042172405,31.89090909,,17.54
2006,4,1.001861966,2.723347892,0.00080789,1.003727399,1.005596306,1.007468692,26.23,18.8,12.19,2.05984684,1.476367541,0.957282996,43.63,3.426272117,9.414893347,0.163582404,0.165816,0.165061368,0.162857726,37.25423729,,21.98
2006,5,1.00242218,2.724873977,0.001050667,1.004850227,1.007284155,1.009723979,32.17,24.44,17.46,2.38054381,1.808532506,1.292020358,40.11,2.968094878,18.79191752,0.322132152,0.340270362,0.33389277,0.316705301,39.90163934,,24.34
2006,6,1.002509987,2.72511325,0.001088708,1.005026274,1.007548877,1.010077811,32.45,25.43,18.83,2.333955452,1.829044288,1.354341484,43.49,3.128003778,23.085911,0.392110921,0.42624554,0.413916395,0.382449055,41.34375,,26.46
2006,7,1.001924134,2.723517203,0.000834838,1.003851971,1.005783517,1.007718779,34.65,27.96,22.15,2.524138211,2.036793777,1.613554441,43.82,3.192142464,21.18369356,0.361359215,0.387547056,0.378206331,0.353751325,40.58333333,,24.35
2006,8,1.000707034,2.720204425,0.000306952,1.001414567,1.002122601,1.002831136,34.85,28.42,22.76,2.668296873,2.175982701,1.742623725,46.08,3.528123957,13.45495968,0.23268091,0.239247505,0.236997687,0.230609729,37.56923077,,24.42
2006,9,0.998868921,2.715208974,-0.0004915,0.99773912,0.996610598,0.995483352,34.58,27.8,22.34,2.841156553,2.284099253,1.835495587,45.95,3.775336716,2.216886783,0.03868232,0.038711293,0.038701628,0.038672677,33.25,,21.28
2006,10,0.996726851,2.709399032,-0.001423842,0.993464415,0.990212658,0.986971544,28.7,23.02,18.32,2.550806499,2.045977895,1.628250002,49.66,4.413695147,-9.599397234,-0.166758374,-0.169126519,-0.168326002,-0.165990865,27.86440678,,16.44
2006,11,0.99588878,2.707129316,-0.00178916,0.991794463,0.987716978,0.983656257,26.92,20.38,15.34,2.56974816,1.945448273,1.464336433,54.84,5.234955018,-18.91195474,-0.324114811,-0.34260965,-0.336102246,-0.318588955,22.08474576,,13.03
2006,12,0.996042011,2.707544164,-0.001722343,0.992099688,0.988172969,0.984261792,23.35,16.33,11.38,2.311886776,1.616835591,1.126735397,47.89,4.741595619,-23.04962764,-0.391528292,-0.425497423,-0.41323111,-0.381908286,19.60344828,,11.37
